#{"t_start": 1749825858.1344798, "env_id": "None"}
r,l,t
-518.392699,8,1.25382
-159.421345,4,1.25382
-652.308455,9,1.25382
-194.371252,5,1.261761
-250.412552,4,1.265129
-80.085211,8,1.26831
-491.748423,7,1.270384
-195.231658,5,1.271342
-215.785982,4,1.273894
-1177.381413,11,1.276389
-383.506158,6,1.278465
-737.15972,7,1.280557
320.40568,9,1.280557
-741.889005,8,1.28579
307.736332,7,1.303984
-147.95245,5,1.374338
-43.281739,6,1.47117
-646.729011,7,1.573923
-369.529324,6,1.654771
-314.931379,5,1.729578
-54.978205,4,1.786872
-756.202115,8,1.909044
-10.8393,4,1.969522
-532.154976,9,2.096299
-465.059096,5,2.173815
-213.548388,4,2.225938
-294.056187,8,2.339303
-961.762161,9,2.454209
474.860671,9,2.58919
-135.900327,4,2.635358
-283.323359,4,2.69903
450.944101,7,2.794122
-580.824773,8,2.914229
-223.129227,7,3.014344
267.068183,5,3.085148
-245.209071,7,3.174042
-576.116449,8,3.300016
91.315005,8,3.402241
665.524902,9,3.517868
-497.671621,7,3.617408
89.989714,5,3.686459
637.608059,7,3.785378
-276.185802,7,3.88458
-140.474964,5,3.951173
-436.190596,6,4.044924
-131.072868,4,4.08689
-346.426931,5,4.174646
139.36314,4,4.234569
-654.799229,8,4.35223
-379.012952,5,4.424741
-324.213022,5,4.49718
-286.779272,6,4.577555
-328.516542,5,4.659304
-346.834288,6,4.735504
-523.216472,8,4.846696
-80.843092,8,4.953618
-224.241962,4,5.014718
-276.181549,5,5.087282
-242.61124,5,5.157933
-664.387407,8,5.267696
-319.853861,5,5.34206
-239.598897,5,5.41304
-676.053372,7,5.50614
174.994519,4,5.561727
765.100401,10,5.702645
-708.599462,7,5.790774
-554.968195,8,5.930549
-232.88104,6,6.019499
88.597726,4,6.083291
-175.91966,7,6.17717
400.290794,5,6.248989
268.80933,5,6.312714
-282.929307,6,6.401812
180.240093,6,6.485587
37.434089,4,6.538338
-95.077861,6,6.62101
107.83666,4,6.686596
112.617838,4,6.748333
-117.969902,4,6.802126
45.637007,4,6.859808
-242.446129,6,6.941282
37.431373,4,7.005813
