#{"t_start": 1749829741.4038556, "env_id": "None"}
r,l,t
-875.351388,8,1.002331
-890.546306,8,1.002331
-355.643615,5,1.005881
-512.58008,7,1.007579
-265.23942,4,1.011095
-41.860103,7,1.013973
1580.459977,11,1.016943
-696.731441,8,1.018942
-339.346368,5,1.023572
-428.797216,9,1.02696
634.61342,8,1.027728
94.597119,6,1.030982
431.591971,6,1.035796
-264.025756,9,1.038818
140.565104,7,1.138412
-1034.307258,10,1.255887
-596.398149,7,1.371595
85.437349,5,1.43828
-1406.321359,11,1.578971
-128.152315,4,1.637989
-904.851064,10,1.774
-342.788133,5,1.844327
-206.425418,4,1.90384
398.320674,10,2.029567
-383.716605,5,2.116666
336.741474,5,2.188249
-352.928221,5,2.253859
-17.511123,4,2.316611
-309.766566,5,2.392323
-360.254867,5,2.457763
-388.006522,9,2.575048
217.851895,5,2.644334
-678.494032,9,2.768888
17.145934,6,2.850199
-145.556558,4,2.912039
-237.168859,8,3.014617
-651.052789,7,3.11831
231.846904,5,3.188108
-655.862008,8,3.281942
-48.333167,5,3.352035
410.018457,6,3.505581
-650.759461,9,3.657731
335.20297,6,3.741722
177.142671,6,3.83229
129.735946,5,3.901683
71.801929,7,4.013733
-39.418063,7,4.104736
-133.5975,5,4.180599
169.150279,4,4.238752
150.814776,4,4.30204
535.631857,7,4.391288
254.962785,7,4.483871
-90.124226,4,4.544286
-63.118355,6,4.627372
238.091139,5,4.681449
5.816407,4,4.744623
-22.902644,4,4.803895
-26.55414,4,4.913882
182.613845,5,4.979593
128.319786,4,5.031387
145.050243,4,5.083234
-100.812275,4,5.151841
179.228664,4,5.199375
9.715345,4,5.261112
-52.033612,4,5.316416
133.364622,4,5.387501
-83.392953,5,5.456137
159.158604,4,5.514198
25.871648,4,5.572484
-35.302828,5,5.643019
-49.169985,6,5.722742
219.259269,4,5.778556
179.737493,4,5.838075
133.143977,4,5.901689
160.835167,4,5.954274
35.34339,4,6.010017
-62.838309,4,6.066313
117.484976,4,6.133561
-51.093911,4,6.188987
126.236707,4,6.245444
207.34292,4,6.302384
153.068087,4,6.369083
79.551617,4,6.426545
-64.460176,4,6.486536
-8.560854,4,6.540413
60.411822,3,6.589709
74.337817,3,6.632004
127.573038,4,6.682523
34.565849,4,6.745475
-16.603811,4,6.804964
27.849394,3,6.840927
89.08122,5,6.916651
24.864399,4,6.972705
143.612881,4,7.036482
192.244545,4,7.090607
8.173209,4,7.148041
23.250705,4,7.203552
-4.392037,4,7.259913
-1.971508,4,7.304431
120.453224,4,7.369445
11.05051,3,7.415608
178.763484,4,7.477971
-65.946101,4,7.532853
32.307284,4,7.587294
22.752668,3,7.631277
123.855163,4,7.682782
107.598082,4,7.746593
41.244148,4,7.805245
35.511799,4,7.850063
-23.754374,4,7.918934
-17.128524,4,7.970985
74.616859,4,8.023928
30.975686,4,8.08155
49.424296,3,8.115227
67.201889,4,8.183206
-35.82763,4,8.239215
124.570061,4,8.283063
