#{"t_start": 1750910061.867556, "env_id": "None"}
r,l,t
91.58931,7,1.017876
168.635321,4,1.017876
-241.984428,4,1.022057
-390.514292,5,1.023225
-440.523751,6,1.025917
-151.387718,6,1.027769
-1036.60366,8,1.02979
83.105792,5,1.030882
-780.883177,8,1.033828
-428.330791,4,1.035418
-406.293791,6,1.036379
-751.767897,7,1.038378
-759.664992,8,1.039699
-66.866542,7,1.044039
-1.913879,4,1.045041
661.651955,11,1.047024
-52.409485,4,1.185704
-184.720986,4,1.252204
16.224814,4,1.302831
-375.138013,7,1.385102
-77.992022,4,1.451157
-890.077082,9,1.573184
22.233819,4,1.634914
-817.0611,9,1.751528
-271.374883,4,1.803244
-156.136315,6,1.885623
-1012.688892,8,2.000686
-344.741483,8,2.109519
23.805522,5,2.175324
-461.158652,6,2.258362
-833.480432,8,2.375449
-40.904452,5,2.443744
97.491754,4,2.486234
-824.81975,9,2.628704
240.881125,9,2.750098
-286.611704,4,2.810205
36.414407,4,2.87712
-424.352598,5,2.951931
191.627498,9,3.066823
-1027.899642,8,3.17807
-291.99135,4,3.224775
2160.979651,13,3.378363
-199.331251,6,3.451824
-79.337126,5,3.534996
3657.26626,19,3.764942
-169.369979,4,3.820185
-458.019238,7,3.913614
86.290493,5,3.979286
-54.090919,5,4.051359
-185.442504,8,4.150915
-56.349916,6,4.241836
230.942956,5,4.308681
-132.41971,4,4.352901
-1087.969597,9,4.481306
-372.948275,5,4.55001
10.827418,8,4.651769
-139.599787,5,4.71936
-167.333814,6,4.802248
170.887535,5,4.871381
-17.213177,4,4.930213
-33.673007,5,5.002639
190.822547,4,5.0587
-40.914434,4,5.108571
-52.990373,3,5.150716
23.097102,4,5.202904
-22.394884,4,5.252623
-13.844858,4,5.31829
-21.638133,4,5.372915
91.156496,3,5.407547
137.277443,4,5.505683
15.131802,4,5.567705
134.048844,4,5.621223
93.975854,4,5.669528
-107.458884,4,5.736411
76.593859,4,5.791907
-93.534694,4,5.851604
-207.923032,4,5.903031
-198.2781,4,5.968663
29.783271,4,6.023076
-176.080962,4,6.074288
62.54795,4,6.134743
-194.870858,4,6.189809
-145.610587,4,6.241814
-60.698491,4,6.295182
-6.444706,4,6.352343
-72.680536,4,6.402696
22.958646,4,6.461543
-158.809008,4,6.5026
33.622939,3,6.557854
-74.486446,4,6.619423
-103.252148,4,6.672239
-58.354645,4,6.728058
96.442718,4,6.775052
-69.952728,4,6.835977
-15.294828,4,6.89647
31.937277,3,6.935941
145.451658,4,6.986231
-101.445744,4,7.05264
58.514265,4,7.105843
126.316582,4,7.159366
-62.899145,4,7.219328
-3.458269,4,7.272285
227.689524,4,7.329159
204.774638,4,7.369266
77.087961,4,7.43625
70.22893,4,7.503868
22.638164,4,7.558531
13.365654,4,7.61175
-56.454907,4,7.669385
-88.867503,4,7.727771
82.589183,3,7.772413
58.634654,4,7.828065
46.427511,4,7.884814
27.972309,4,7.935117
126.582211,4,7.992009
-25.753038,4,8.044068
-167.009162,4,8.086269
-86.392163,4,8.15521
97.185807,4,8.211705
27.84712,3,8.252783
33.577003,3,8.291751
0.095987,4,8.352664
91.655986,4,8.408475
51.284591,3,8.43579
2.204534,3,8.491636
-131.742507,4,8.535997
90.732539,4,8.601053
-113.959568,4,8.655386
30.496186,4,8.718162
-10.379598,4,8.77326
0.813726,4,8.819381
87.175675,4,8.888424
-23.034238,4,8.952799
14.96687,4,9.006429
-17.95223,4,9.058674
-28.61878,4,9.115504
-39.870743,4,9.169812
40.713827,4,9.219416
157.155673,4,9.289341
-92.683886,4,9.342839
-181.462669,4,9.38631
-51.893637,3,9.436005
-87.360777,4,9.495618
26.546472,3,9.535837
-89.555064,4,9.586497
97.905232,3,9.636903
136.091152,4,9.699169
46.648509,4,9.75453
77.5981,4,9.802791
-106.806946,4,9.871385
-25.670283,4,9.926503
-17.810456,4,9.978205
142.75887,4,10.034864
89.699815,4,10.086433
-34.762034,3,10.136873
6.535035,4,10.195797
81.662174,4,10.23647
148.973165,4,10.310381
55.940659,3,10.351661
-168.439897,4,10.41055
34.647929,3,10.456419
-137.001231,4,10.503185
7.897746,4,10.601525
-206.539446,4,10.670542
99.422991,4,10.719935
-97.783657,4,10.769477
-107.326575,4,10.837842
71.455275,3,10.868583
-79.871361,4,10.936102
-122.757537,4,11.000201
-51.054288,4,11.052886
103.935709,4,11.10292
-49.930445,4,11.153209
-21.701623,4,11.202695
91.124796,3,11.251959
-80.317429,4,11.312914
-16.886354,4,11.36993
-36.427857,3,11.403326
73.600312,3,11.451601
52.384161,4,11.505837
-78.884587,3,11.553094
-40.818144,3,11.589705
48.79936,4,11.636199
41.6602,3,11.689923
-28.224359,4,11.752754
-70.535094,4,11.809756
69.600719,4,11.864528
-180.487147,4,11.92258
-109.250821,4,11.986186
99.681246,3,12.019361
54.366711,4,12.068706
6.1823,4,12.131548
15.62342,4,12.191121
99.608857,4,12.257972
-94.790849,4,12.318482
-22.527213,4,12.369575
-2.827914,3,12.40767
38.66593,4,12.46997
128.481774,4,12.5311
-0.242599,4,12.585172
-20.776482,4,12.636179
1.002415,3,12.691283
-24.764336,4,12.745028
-12.716817,4,12.792214
-42.788145,4,12.852888
-81.675262,4,12.914884
-15.936094,4,12.972336
49.40091,4,13.027313
19.788965,4,13.086304
-177.849417,4,13.145155
-46.839967,4,13.197892
-43.111282,4,13.257833
45.430411,4,13.319003
79.382524,4,13.370471
2.36254,4,13.429509
-160.658883,4,13.491003
-170.479277,4,13.53607
-67.423498,3,13.588501
-118.17572,4,13.643952
74.07353,3,13.669302
-37.86379,3,13.718773
75.473845,3,13.769524
-73.214375,4,13.769524
-20.806308,4,13.769524
-12.205984,4,13.780931
13.229733,4,13.782952
40.758786,3,13.853032
-3.424369,4,13.919611
39.655094,3,13.952901
141.402922,4,14.019557
70.796394,3,14.068386
-35.72876,4,14.102004
-14.01057,4,14.17468
12.745567,4,14.236252
-26.030273,4,14.293996
-48.540389,4,14.34875
-115.286652,4,14.409564
-88.040586,3,14.453151
27.577577,4,14.503122
-174.393399,4,14.571524
-16.372815,4,14.6284
-55.885638,3,14.6755
-47.929413,4,14.736782
-49.169102,4,14.79631
-63.84611,4,14.851663
114.321155,4,14.903206
-101.241939,4,14.971642
1.056721,3,15.002145
65.863143,3,15.056928
-147.637922,4,15.103072
73.49652,3,15.152927
20.78246,4,15.212816
-17.241985,4,15.26906
-178.779819,4,15.319695
-164.41788,4,15.369673
-43.496784,4,15.435277
-163.635981,4,15.487157
-120.556364,4,15.595256
-149.652552,4,15.636246
0.10956,4,15.701971
17.00592,3,15.735453
-103.96719,4,15.803062
68.236218,3,15.851684
-51.175413,4,15.899945
-42.685199,4,15.95594
-0.499588,4,16.018421
-118.613632,4,16.071355
45.330687,4,16.130538
69.417588,4,16.169554
-41.311049,4,16.23663
-34.226818,4,16.300882
-77.310963,4,16.3621
-9.624473,4,16.403068
-172.193038,4,16.470135
-16.52301,4,16.538362
-173.063422,4,16.594445
-89.184004,4,16.65017
-13.548325,4,16.703442
57.124059,4,16.753111
189.588986,4,16.822772
36.256302,3,16.859437
151.754302,4,16.937266
-55.971363,4,17.010155
-65.074648,4,17.064988
-3.911853,4,17.120957
121.18171,4,17.170029
-70.091325,4,17.24212
188.917301,4,17.286409
-80.276517,4,17.355045
-107.19259,4,17.403354
-8.664721,4,17.473393
-35.008747,3,17.503194
62.474468,3,17.552211
48.2022,3,17.601812
-116.059587,4,17.653104
-104.879896,4,17.720808
20.350759,4,17.77774
80.690226,4,17.836474
35.465982,3,17.869676
129.703139,4,17.940723
42.915653,3,17.969029
35.021699,3,18.02546
62.193124,3,18.069842
26.230526,4,18.127519
2.689809,4,18.186388
154.6702,4,18.236559
32.915452,4,18.301988
-117.04083,4,18.360912
18.686608,4,18.419875
-150.164344,4,18.470018
17.970824,3,18.519774
-24.508639,4,18.579788
89.854114,3,18.619791
-38.575589,4,18.669961
-56.191494,3,18.720064
-145.083054,4,18.790456
104.139526,4,18.846275
7.876925,3,18.892018
68.096857,4,18.936526
16.069916,4,18.986221
-38.482116,4,19.063145
100.411379,3,19.106267
-79.743992,3,19.136667
-6.752293,4,19.211046
76.753539,3,19.254859
53.561734,3,19.301963
-60.669042,4,19.353089
61.326997,4,19.418155
-129.978141,4,19.473394
1.259321,4,19.535484
42.495825,3,19.568922
11.244359,4,19.638586
34.723523,3,19.686363
3.76111,4,19.736671
-118.935318,4,19.805166
-64.58878,4,19.863896
-46.353257,4,19.921353
103.570036,4,19.969804
6.782496,4,20.036658
78.17809,4,20.094948
-20.1161,4,20.152141
-31.744051,4,20.205392
107.349037,4,20.253213
67.419481,4,20.328886
103.845715,4,20.369833
-141.461999,4,20.436927
1.018074,4,20.53597
15.505916,3,20.585183
55.512804,4,20.636484
86.156956,3,20.686689
-62.553401,4,20.759149
178.84815,4,20.821902
-76.369993,4,20.879404
-64.128241,4,20.936453
78.388843,3,20.969839
-75.421509,3,21.01883
41.964772,4,21.074611
88.336143,4,21.120262
31.668453,4,21.198495
-87.949818,4,21.258271
-19.585747,3,21.304241
142.278909,4,21.353431
-68.067203,4,21.420702
44.527966,4,21.469913
142.613115,4,21.519641
-42.397502,4,21.586772
-71.489839,4,21.656193
139.207221,4,21.714777
84.612991,4,21.774903
66.099836,4,21.853141
62.688084,3,21.909103
-31.725147,4,21.974849
53.362233,3,22.02065
-89.69378,4,22.086634
99.748827,4,22.157217
-90.746803,4,22.231927
-4.047497,4,22.298258
21.053462,4,22.353263
-126.666944,4,22.411542
-188.941364,4,22.472247
-89.085421,3,22.516448
10.89886,4,22.570431
-76.940279,3,22.618881
-94.509882,3,22.675411
82.963369,4,22.749599
45.930282,4,22.819195
-47.80344,3,22.853256
67.000991,4,22.916108
-50.660795,4,22.979935
92.454926,3,23.025673
130.207254,4,23.09138
106.12245,4,23.136607
90.119372,4,23.203331
23.948614,4,23.270092
-152.894863,4,23.340522
36.044805,3,23.399504
-117.997543,4,23.470783
40.608277,3,23.52029
87.252463,4,23.570091
81.160717,3,23.619118
-106.232606,4,23.680159
126.72352,4,23.736608
70.685206,3,23.769074
-187.055923,4,23.841248
-24.668793,4,23.897688
-63.879426,4,23.9534
