#{"t_start": 1751079995.4536185, "env_id": "None"}
r,l,t
37.396528,5,1.013244
-262.954405,7,1.013244
-1610.994575,12,1.029771
-2779.118613,17,1.034572
-471.073932,5,1.037948
101.007197,7,1.039948
-545.153509,7,1.04057
-605.279089,9,1.04057
-173.362716,6,1.04057
-749.754169,9,1.048031
410.725746,6,1.04903
-1725.474631,13,1.184995
-434.614578,4,1.236445
-492.79362,6,1.318408
-471.146199,8,1.418403
277.702505,5,1.485374
-279.513514,5,1.552126
-469.168481,6,1.635087
-603.128798,6,1.714281
54.215088,7,1.801705
-179.842747,5,1.869327
144.17871,4,1.919292
43.661294,7,2.009351
-750.326783,7,2.097664
1832.573557,16,2.280993
-163.52579,10,2.39891
-897.930836,8,2.485329
-835.674367,10,2.621372
-789.51561,7,2.723102
124.357773,4,2.78168
-66.850706,4,2.837762
8.777817,5,2.904489
-1214.837184,10,3.035652
-398.511531,5,3.105567
290.063958,6,3.182117
-266.540151,4,3.238187
-270.491155,4,3.289608
-1211.565315,11,3.423783
-1527.530917,12,3.580894
-472.399686,7,3.6831
154.310536,4,3.80143
-506.89384,7,3.893605
10.155245,4,3.944724
-682.695108,9,4.057291
-840.793296,8,4.177691
-1364.959237,10,4.341614
-560.636667,6,4.437191
17.266891,6,4.536522
222.704996,11,4.719917
-485.056738,8,4.846562
-824.619291,9,4.992638
-80.529331,4,5.064922
-71.846091,9,5.252034
-209.249252,6,5.352261
20.38464,6,5.450546
47.068115,4,5.516772
-2344.715873,15,5.747859
-38.162566,4,5.794391
-1.23855,5,5.866939
-524.612736,8,5.977365
-50.41279,4,6.052422
-33.914135,4,6.117109
-35.923822,4,6.179398
23.048785,4,6.240638
-118.213258,4,6.312216
79.303206,4,6.377288
-329.905785,6,6.47252
-27.769012,4,6.532131
-133.668927,4,6.601125
-49.342564,4,6.671038
-204.104216,4,6.737964
13.560475,4,6.796488
11.493268,5,6.883064
104.816098,5,6.955103
107.359786,4,7.011538
192.035003,5,7.081617
-105.716506,5,7.152443
-168.377756,4,7.203134
-87.842276,4,7.271188
7.388978,4,7.341784
8.274502,4,7.407559
70.384537,4,7.466439
76.850075,4,7.521972
-51.055198,4,7.570001
-0.963358,4,7.637031
110.265062,4,7.700503
-166.310678,4,7.756337
-38.793352,3,7.795921
-56.832335,4,7.861204
50.451929,4,7.918378
49.32087,4,7.971121
-113.71071,4,8.024206
-168.022935,4,8.069734
182.090485,4,8.119563
-15.413546,4,8.168839
-20.722808,4,8.218862
-24.329035,4,8.286393
142.378189,4,8.336136
42.115725,4,8.392933
2.283944,4,8.448662
166.956135,4,8.503
-107.186084,4,8.552684
-22.2075,4,8.610239
-109.326884,4,8.65297
-44.927262,4,8.703058
2.649652,4,8.752816
126.222282,4,8.851065
-96.122783,4,8.901957
76.309098,3,8.952107
-157.821249,4,9.00293
12.76801,4,9.063168
-5.772613,4,9.102856
87.134211,3,9.158246
23.4188,4,9.202862
88.08115,4,9.270361
72.18766,4,9.301845
-50.693366,4,9.369986
15.56296,4,9.420798
54.977147,3,9.469141
-194.439481,4,9.519615
97.813886,4,9.569726
57.504822,4,9.637087
-77.615209,3,9.668895
60.381708,4,9.719846
-48.720669,4,9.786182
2.511946,3,9.819675
-40.651488,4,9.869403
-142.031199,4,9.918972
-81.021623,4,9.986239
-132.12311,4,10.050104
123.450722,4,10.085175
140.19669,4,10.150712
-30.103534,4,10.20304
-81.670893,4,10.252825
101.673069,4,10.31287
52.047526,4,10.352752
0.250733,4,10.408566
44.988732,3,10.453205
63.791903,3,10.4866
-150.463771,4,10.536152
79.255716,3,10.591775
-32.05947,4,10.636143
110.189129,4,10.697118
-37.564833,4,10.736425
-15.90377,4,10.80324
120.214943,4,10.859192
-50.076605,4,10.907787
-50.705008,3,10.935277
18.891211,4,10.992516
-149.326186,4,11.052926
-12.503464,4,11.111817
-43.260748,4,11.152933
-29.311104,4,11.219026
84.664355,4,11.269619
65.513532,4,11.328229
-10.685399,4,11.369572
115.956337,4,11.436446
-55.792857,4,11.486372
